subject,exam_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,year
Physics,NECO,The diagram shows a progressive wave moving from the left to the right. The period of the wave is t. Use the graph to answer questions 15 and 16. Determine the amplitude and wavelength,"A. 4 m, 5 m","B. 5 m, 4 m","C. 2 m, 5 m","D. 5 m, 2 m",A,,2021
Physics,WAEC,Determine the speed of the wave,A. 4 ms⁻¹,B. 8 ms⁻¹,C. 72 ms⁻¹,D. 2 ms⁻¹,A,,2021
Physics,NECO,Determine the speed of the wave,A. 4 ms⁻¹,B. 8 ms⁻¹,C. 72 ms⁻¹,D. 2 ms⁻¹,A,,2021
Physics,WAEC,Which of the following is to the area of elastic semiconductor?,A. 4 J to 17 J,B. to 10 to 13 J,C. temperature gas moves,D. the system temperature increases,A,,2021
Physics,NECO,Which of the following is to the area of elastic semiconductor?,A. 4 J to 17 J,B. to 10 to 13 J,C. temperature gas moves,D. the system temperature increases,A,,2021
Physics,WAEC,The diagram shows the position of the superconductor properties to which of the following best describes the diagram?,superconductor as temperature,At temperature gas moves,the system temperature increases,D. the system value comes,A,,2021
Physics,NECO,The diagram shows the position of the superconductor properties to which of the following best describes the diagram?,superconductor as temperature,At temperature gas moves,the system temperature increases,D. the system value comes,A,,2021
Physics,WAEC,The diagram illustrates the capacitor 0.01 mF. The capacitor is 300 V. A current of 2 A passes through a wire of resistance 4 for 5 minutes. Calculate the energy loss.,X 300 J,B. 1500 J,C. 2400 J,D. 2130 J,D,,2021
Physics,NECO,The diagram illustrates the capacitor 0.01 mF. The capacitor is 300 V. A current of 2 A passes through a wire of resistance 4 for 5 minutes. Calculate the energy loss.,X 300 J,B. 1500 J,C. 2400 J,D. 2130 J,D,,2021
Physics,WAEC,Which of the following statements about the universal gravitational constant G is correct?,G = 6×10⁻¹¹,G is a fundamental quantity,G has no dimensions,G is a scalar quantity,D,,2021
Physics,NECO,Which of the following statements about the universal gravitational constant G is correct?,G = 6×10⁻¹¹,G is a fundamental quantity,G has no dimensions,G is a scalar quantity,D,,2021
Physics,WAEC,Which of the following electromagnetic waves is used in medicine?,Radio waves,X-rays,Infrared,Gamma rays,B,,2021
Physics,NECO,Which of the following electromagnetic waves is used in medicine?,Radio waves,X-rays,Infrared,Gamma rays,B,,2021
Physics,WAEC,Which of the following statements about electric potential energy is correct?,The electric potential energy of a positively charged particle increases when it moves to a point of higher potential,The electric potential energy of a negatively charged particle increases when it moves to a point of lower potential,The electric potential energy of a positively charged particle decreases when it moves to a point of higher potential,The work done in taking a charged particle around a closed path in an electric field is zero,D,,2021
Physics,NECO,Which of the following statements about electric potential energy is correct?,The electric potential energy of a positively charged particle increases when it moves to a point of higher potential,The electric potential energy of a negatively charged particle increases when it moves to a point of lower potential,The electric potential energy of a positively charged particle decreases when it moves to a point of higher potential,The work done in taking a charged particle around a closed path in an electric field is zero,D,,2021
Physics,WAEC,A galvanometer with a full scale deflection of 20 mA is converted to read 8V by connecting a 395Ω resistor in series with it. Determine the internal resistance of the galvanometer,A. 2.5Ω,B. 5.0Ω,C. 8.0Ω,D. 1000Ω,A,,2021
Physics,NECO,A galvanometer with a full scale deflection of 20 mA is converted to read 8V by connecting a 395Ω resistor in series with it. Determine the internal resistance of the galvanometer,A. 2.5Ω,B. 5.0Ω,C. 8.0Ω,D. 1000Ω,A,,2021
Physics,WAEC,"An inductor of inductance 10H is connected across an a.c. circuit with supply of 50V, 100 Hz. What is the current in the circuit? (π = 3.14)",0.070 A,0.050 A,0.008 A,A. 1A,C,,2021
Physics,NECO,"An inductor of inductance 10H is connected across an a.c. circuit with supply of 50V, 100 Hz. What is the current in the circuit? (π = 3.14)",0.070 A,0.050 A,0.008 A,A. 1A,C,,2021
Physics,WAEC,The speed of fast moving neutrons in a nuclear reactor can be reduced by using,graphite rods,concrete shield,iron rods,boron rods,A,,2021
Physics,NECO,The speed of fast moving neutrons in a nuclear reactor can be reduced by using,graphite rods,concrete shield,iron rods,boron rods,A,,2021
Physics,WAEC,"In a series R-L-C circuit at resonance, impedance is",A. maximum,B. minimum,C. capacitive,D. inductive,B,,2021
Physics,NECO,"In a series R-L-C circuit at resonance, impedance is",A. maximum,B. minimum,C. capacitive,D. inductive,B,,2021
Physics,WAEC,"A lamp is rated 240V, 60W. Determine the resistance of the lamp when lit",120Ω,240Ω,540Ω,960Ω,D,,2021
Physics,NECO,"A lamp is rated 240V, 60W. Determine the resistance of the lamp when lit",120Ω,240Ω,540Ω,960Ω,D,,2021
Physics,WAEC,One major reason why electrical appliances in homes are normally earthed is that,A. the person touching the appliance is safe from electric shock,B. appliances are maintained at a higher p.d. than the earth,C. appliances are maintained at a lower p.d. than the earth,D. appliances are maintained at the same p.d. with that of the earth,A,,2021
Physics,NECO,One major reason why electrical appliances in homes are normally earthed is that,A. the person touching the appliance is safe from electric shock,B. appliances are maintained at a higher p.d. than the earth,C. appliances are maintained at a lower p.d. than the earth,D. appliances are maintained at the same p.d. with that of the earth,A,,2021
Physics,WAEC,In loping an intrinsic semiconductor to produce a p-type semiconductor,the semiconductor is heated up,B is added,donor element is added,an acceptor element is added,D,,2021
Physics,NECO,In loping an intrinsic semiconductor to produce a p-type semiconductor,the semiconductor is heated up,B is added,donor element is added,an acceptor element is added,D,,2021
Physics,WAEC,A wire of cross-sectional area 2π×10⁻⁸ m² and resistivity 1.1×10⁻⁸ m has a resistance of 21Ω. Calculate the length of the wire (π = 22/7),180 m,140 m,120 m,240 m,C,,2021
Physics,NECO,A wire of cross-sectional area 2π×10⁻⁸ m² and resistivity 1.1×10⁻⁸ m has a resistance of 21Ω. Calculate the length of the wire (π = 22/7),180 m,140 m,120 m,240 m,C,,2021
Physics,WAEC,Which of the following statements best describes the particles in a solid at room temperature?,They are far apart and moving randomly,They are close together and vibrating,They are close together and stationary,They are close together and moving randomly,B,,2021
Physics,NECO,Which of the following statements best describes the particles in a solid at room temperature?,They are far apart and moving randomly,They are close together and vibrating,They are close together and stationary,They are close together and moving randomly,B,,2021
Physics,WAEC,"A man weighing 200N runs up a staircase in 5s. If the height of the staircase is 9m, calculate the power of the man",1000 W,360 W,C. 1800 W,D. 180 W,B,,2021
Physics,NECO,"A man weighing 200N runs up a staircase in 5s. If the height of the staircase is 9m, calculate the power of the man",1000 W,360 W,C. 1800 W,D. 180 W,B,,2021
Physics,WAEC,"A rotating disc contains a set of holes in a circle. An air jet is directed onto the holes and a note of frequency 480 Hz is produced. If the number of holes is 20, calculate the speed of rotation of the disc",10 revs,20 revs,24 revs,B. 8 revs,C,,2021
Physics,NECO,"A rotating disc contains a set of holes in a circle. An air jet is directed onto the holes and a note of frequency 480 Hz is produced. If the number of holes is 20, calculate the speed of rotation of the disc",10 revs,20 revs,24 revs,B. 8 revs,C,,2021
Physics,WAEC,"A force of 10N, acting continuously, increases the kinetic energy of an object from 20J to 60J. Find the distance moved by the object",40 m,C. 4 m,D. 400 m,B. 200 m,A,,2021
Physics,NECO,"A force of 10N, acting continuously, increases the kinetic energy of an object from 20J to 60J. Find the distance moved by the object",40 m,C. 4 m,D. 400 m,B. 200 m,A,,2021
Physics,WAEC,"An electric circuit consists of a resistor, a battery and a key. If the voltage of the battery is increased, there would be an increase in the",current,resistance and temperature,current and temperature,temperature only,C,,2021
Physics,NECO,"An electric circuit consists of a resistor, a battery and a key. If the voltage of the battery is increased, there would be an increase in the",current,resistance and temperature,current and temperature,temperature only,C,,2021
Physics,WAEC,"A radioactive material has a half-life of 1.0 hour. If 200.0 g of it was present at 6 a.m. on a certain day, how many grams will have decayed by 9 a.m. on the same day?",175.0 g,150.0 g,100.0 g,187.5 g,A,,2021
Physics,NECO,"A radioactive material has a half-life of 1.0 hour. If 200.0 g of it was present at 6 a.m. on a certain day, how many grams will have decayed by 9 a.m. on the same day?",175.0 g,150.0 g,100.0 g,187.5 g,A,,2021
Physics,WAEC,The following statements about a loudspeaker are correct except,it contains a permanent magnet,sound converted to varying current signal enters the speech coil,the current in the speech coil creates a magnetic force on the coil,the magnetic force on the speech coil is uni-directional,D,,2021
Physics,NECO,The following statements about a loudspeaker are correct except,it contains a permanent magnet,sound converted to varying current signal enters the speech coil,the current in the speech coil creates a magnetic force on the coil,the magnetic force on the speech coil is uni-directional,D,,2021
Physics,WAEC,An ice cube has mass of 20g at 5°C. Calculate the energy required to raise its temperature to 0°C (Specific heat capacity of ice = 2.1 J g⁻¹ °C⁻¹),105 J,B. 100 J,C. 42 J,D. 210 J,A,,2021
Physics,NECO,An ice cube has mass of 20g at 5°C. Calculate the energy required to raise its temperature to 0°C (Specific heat capacity of ice = 2.1 J g⁻¹ °C⁻¹),105 J,B. 100 J,C. 42 J,D. 210 J,A,,2021
Physics,WAEC,A stone is thrown horizontally with initial velocity 15 ms⁻¹ from a tower 20m high. How long does it take to reach the ground? (g = 10 ms⁻²),2 s,4 s,5 s,1 s,A,,2021
Physics,NECO,A stone is thrown horizontally with initial velocity 15 ms⁻¹ from a tower 20m high. How long does it take to reach the ground? (g = 10 ms⁻²),2 s,4 s,5 s,1 s,A,,2021
Physics,WAEC,Which of the following statements is NOT a characteristic of a plane progressive wave?,Energy travels out through the medium,Neighbouring points along the profile possess different amplitudes,Neighbouring points along the profile possess the same amplitude,Particles vibrate with different phase,C,,2021
Physics,NECO,Which of the following statements is NOT a characteristic of a plane progressive wave?,Energy travels out through the medium,Neighbouring points along the profile possess different amplitudes,Neighbouring points along the profile possess the same amplitude,Particles vibrate with different phase,C,,2021
Physics,WAEC,The electrons in a cathode-ray tube are produced by,heating a metal filament,ionization of the air,applying a magnetic field to the y-plates,applying an electric field to the x-plates,A,,2021
Physics,NECO,The electrons in a cathode-ray tube are produced by,heating a metal filament,ionization of the air,applying a magnetic field to the y-plates,applying an electric field to the x-plates,A,,2021
Physics,WAEC,Which of the following statements about distance and displacement is NOT correct?,Displacement is a vector quantity,Distance has dimension L,Displacement is measured in metres,Distance is a vector quantity,D,,2021
Physics,NECO,Which of the following statements about distance and displacement is NOT correct?,Displacement is a vector quantity,Distance has dimension L,Displacement is measured in metres,Distance is a vector quantity,D,,2021
Physics,WAEC,A note produced by an instrument is distinguished from a similar note produced by another instrument by,the A intensity,pitch,overtones,loudness,D,,2021
Physics,NECO,A note produced by an instrument is distinguished from a similar note produced by another instrument by,the A intensity,pitch,overtones,loudness,D,,2021
Physics,WAEC,"According to Pascal's principle, the pressure in a fluid is always",dependent on density of the fluid,transmitted partially in all directions,transmitted equally in all directions,increasing with height,C,,2021
Physics,NECO,"According to Pascal's principle, the pressure in a fluid is always",dependent on density of the fluid,transmitted partially in all directions,transmitted equally in all directions,increasing with height,C,,2021
Physics,WAEC,Which of the following set of quantities are all vectors?,"Pressure, energy and force","Force, displacement and momentum","Work, displacement, acceleration and momentum","Density, volume and weight",B,,2021
Physics,NECO,Which of the following set of quantities are all vectors?,"Pressure, energy and force","Force, displacement and momentum","Work, displacement, acceleration and momentum","Density, volume and weight",B,,2021
Physics,WAEC,"If the relative humidity of the atmosphere increases, the rate of evaporation of sweat from the human body",decreases,remains the same,increases,and perspiration increases,A,,2021
Physics,NECO,"If the relative humidity of the atmosphere increases, the rate of evaporation of sweat from the human body",decreases,remains the same,increases,and perspiration increases,A,,2021
Physics,WAEC,Which of the following factors determines the resistance of a wire?,Its A. mass,cross-sectional area,length,material,B,,2021
Physics,NECO,Which of the following factors determines the resistance of a wire?,Its A. mass,cross-sectional area,length,material,B,,2021
Physics,WAEC,Which of the following scientists suggested that moving particles exhibit wave properties?,Isaac Newton,Ernest Rutherford,Louis de-Broglie,J. J. Thompson,C,,2021
Physics,NECO,Which of the following scientists suggested that moving particles exhibit wave properties?,Isaac Newton,Ernest Rutherford,Louis de-Broglie,J. J. Thompson,C,,2021
Physics,WAEC,The area under a force-time graph represents,change in kinetic energy,change in momentum,work done,change in internal energy,B,,2022
Physics,NECO,The area under a force-time graph represents,change in kinetic energy,change in momentum,work done,change in internal energy,B,,2022
Physics,WAEC,"From the principle of flotation, a body sinks in a fluid until it displaces",a quantity of fluid equal to its own A. density,mass,weight,volume,C,,2022
Physics,NECO,"From the principle of flotation, a body sinks in a fluid until it displaces",a quantity of fluid equal to its own A. density,mass,weight,volume,C,,2022
Physics,WAEC,"Suppose three identical steel balls Q, R and S are placed on an undulating ground. Which of the balls is/are in neutral equilibrium?",A only,Q only,R only,Q and S only,C,,2022
Physics,NECO,"Suppose three identical steel balls Q, R and S are placed on an undulating ground. Which of the balls is/are in neutral equilibrium?",A only,Q only,R only,Q and S only,C,,2022
Physics,WAEC,The length of a simple pendulum is increased by a factor of four. By what factor is its period increased?,0.5π,2,2π,4,B,,2022
Physics,NECO,The length of a simple pendulum is increased by a factor of four. By what factor is its period increased?,0.5π,2,2π,4,B,,2022
Physics,WAEC,"The linear expansivity α, and cubic expansivity γ of a material are related by the equation",α = αβ,γ = 3α,C. γ = 2α,D. γ = ⅓α,B,,2022
Physics,NECO,"The linear expansivity α, and cubic expansivity γ of a material are related by the equation",α = αβ,γ = 3α,C. γ = 2α,D. γ = ⅓α,B,,2022
Physics,WAEC,Which of the illustrated graphs represents a body moving with uniform retardation?,Graph A,Graph B,Graph C,Graph D,D,,2022
Physics,NECO,Which of the illustrated graphs represents a body moving with uniform retardation?,Graph A,Graph B,Graph C,Graph D,D,,2022
Physics,WAEC,"The correct relationship between the displacement s of a particle initially at rest in a linear motion and the time t, is",s α t²,s α t⁻¹,s α t,s α r,A,,2022
Physics,NECO,"The correct relationship between the displacement s of a particle initially at rest in a linear motion and the time t, is",s α t²,s α t⁻¹,s α t,s α r,A,,2022
Physics,WAEC,The Joule is equivalent to,kg m² s⁻¹,kg² m s⁻²,kg m² s⁻²,D. kg m s⁻¹,C,,2022
Physics,NECO,The Joule is equivalent to,kg m² s⁻¹,kg² m s⁻²,kg m² s⁻²,D. kg m s⁻¹,C,,2022
Physics,WAEC,Which statement(s) is/are correct about a fixed mass of gas compressed in an unexpandable container?,I only,"D. I, II and III",II and III only,I and II only,B,,2022
Physics,NECO,Which statement(s) is/are correct about a fixed mass of gas compressed in an unexpandable container?,I only,"D. I, II and III",II and III only,I and II only,B,,2022
Physics,WAEC,An example of a mechanical wave is,water waves,radio waves,X-rays,light rays,A,,2022
Physics,NECO,An example of a mechanical wave is,water waves,radio waves,X-rays,light rays,A,,2022
Physics,WAEC,Which of the following descriptions of the image formed by a plane mirror is not correct?,Same size as the object,Laterally inverted,They are not bigger than the object,D. virtual and of the same size as object,C,,2022
Physics,NECO,Which of the following descriptions of the image formed by a plane mirror is not correct?,Same size as the object,Laterally inverted,They are not bigger than the object,D. virtual and of the same size as object,C,,2022
Physics,WAEC,The efficiency of a wheel and axle is 5:1 with 100% and the ratio of their radii is 5:1. Calculate the effort required to lift a load of mass 20 kg using this machine (g = 10 ms⁻²),20 N,25 N,C. 40 N,D. 100 N,A,,2022
Physics,NECO,The efficiency of a wheel and axle is 5:1 with 100% and the ratio of their radii is 5:1. Calculate the effort required to lift a load of mass 20 kg using this machine (g = 10 ms⁻²),20 N,25 N,C. 40 N,D. 100 N,A,,2022
Physics,WAEC,A freely suspended compass needle on the earth's surface settles in a plane called,geographic meridian,magnetic meridian,C. magnetic declination,D. isoganals,A,,2022
Physics,NECO,A freely suspended compass needle on the earth's surface settles in a plane called,geographic meridian,magnetic meridian,C. magnetic declination,D. isoganals,A,,2022
Physics,WAEC,An object is placed at different distances u from a converging lens of focal length 15.0 cm. For what value of u does the lens act as a simple microscope?,u = 15 cm only,u = 30 cm only,u < 15 cm only,u > 30 cm,C,,2022
Physics,NECO,An object is placed at different distances u from a converging lens of focal length 15.0 cm. For what value of u does the lens act as a simple microscope?,u = 15 cm only,u = 30 cm only,u < 15 cm only,u > 30 cm,C,,2022
Physics,WAEC,The periodic rise and fall in the intensity of sound produced when two notes of nearly equal frequencies are sounded together is called,A. doppler effect,beat,interference,resonance,B,,2022
Physics,NECO,The periodic rise and fall in the intensity of sound produced when two notes of nearly equal frequencies are sounded together is called,A. doppler effect,beat,interference,resonance,B,,2022
Physics,WAEC,The power of a lens is +2.5 D. What is its radius of curvature?,A. 2.5 cm,25.0 cm,40.0 cm,80.0 cm,D,,2022
Physics,NECO,The power of a lens is +2.5 D. What is its radius of curvature?,A. 2.5 cm,25.0 cm,40.0 cm,80.0 cm,D,,2022
Physics,WAEC,The reason for having a large number of turns in the coil of a moving coil galvanometer is to,make the deflection of the needle proportional to the current,increase the sensitivity of the galvanometer,decrease the magnetic flux produced by the magnet,make the permanent magnet stronger,A,,2022
Physics,NECO,The reason for having a large number of turns in the coil of a moving coil galvanometer is to,make the deflection of the needle proportional to the current,increase the sensitivity of the galvanometer,decrease the magnetic flux produced by the magnet,make the permanent magnet stronger,A,,2022
Physics,WAEC,"Current is passed through two parallel conductors in the same direction. If the conductors are placed near each other, they will",move in a circle,repel each other,remain stationary,attract each other,D,,2022
Physics,NECO,"Current is passed through two parallel conductors in the same direction. If the conductors are placed near each other, they will",move in a circle,repel each other,remain stationary,attract each other,D,,2022
Physics,WAEC,The period of a 10 kHz radio wave travelling at 3.0×10⁸ ms⁻¹ is,3.0×10⁻⁴ s,1.0×10⁻⁴ s,1.0×10⁴ s,D. 3.0×10⁶,B,,2022
Physics,NECO,The period of a 10 kHz radio wave travelling at 3.0×10⁸ ms⁻¹ is,3.0×10⁻⁴ s,1.0×10⁻⁴ s,1.0×10⁴ s,D. 3.0×10⁶,B,,2022
Physics,WAEC,The magnetic material produced from the chemical combination of metal oxides and has a very high resistance to electric current is called,A. paramagnetic substance,ferrite substance,ferromagnetic substance,diamagnetic substance,B,,2022
Physics,NECO,The magnetic material produced from the chemical combination of metal oxides and has a very high resistance to electric current is called,A. paramagnetic substance,ferrite substance,ferromagnetic substance,diamagnetic substance,B,,2022
Physics,WAEC,A body of mass m moving with velocity v has a wavelength A associated with it. This phenomenon is called,photoelectric effect,Heisenberg's uncertainty principle,Compton effect,wave-particle paradox,A,,2022
Physics,NECO,A body of mass m moving with velocity v has a wavelength A associated with it. This phenomenon is called,photoelectric effect,Heisenberg's uncertainty principle,Compton effect,wave-particle paradox,A,,2022
Physics,WAEC,Which of the following statements about a straight current-carrying wire placed in a uniform magnetic field is correct?,The wire experiences maximum motor force if the current reverses its direction,no motor force if it is parallel to the field,no motor force if it is perpendicular to the field,a motor force with constant direction if either the current or the magnetic field is reversed,C,,2022
Physics,NECO,Which of the following statements about a straight current-carrying wire placed in a uniform magnetic field is correct?,The wire experiences maximum motor force if the current reverses its direction,no motor force if it is parallel to the field,no motor force if it is perpendicular to the field,a motor force with constant direction if either the current or the magnetic field is reversed,C,,2022
Physics,WAEC,Three cells each of emf 1.1V and internal resistance 2Ω are connected in parallel across a 3 resistor. Determine the current in the resistor,0.99 A,0.39 A,0.30 A,0.01 A,C,,2022
Physics,NECO,Three cells each of emf 1.1V and internal resistance 2Ω are connected in parallel across a 3 resistor. Determine the current in the resistor,0.99 A,0.39 A,0.30 A,0.01 A,C,,2022
Physics,WAEC,Which of the following statements about electric potential energy is NOT correct?,The electric potential energy of a positively charged particle increases when it moves to a point of higher potential,The electric potential energy of a negatively charged particle increases when it moves to a point of lower potential,The electric potential energy of a positively charged particle decreases when it moves to a point of higher potential,The work done in taking a charged particle around a closed path in an electric field is zero,A,,2022
Physics,NECO,Which of the following statements about electric potential energy is NOT correct?,The electric potential energy of a positively charged particle increases when it moves to a point of higher potential,The electric potential energy of a negatively charged particle increases when it moves to a point of lower potential,The electric potential energy of a positively charged particle decreases when it moves to a point of higher potential,The work done in taking a charged particle around a closed path in an electric field is zero,A,,2022
Physics,WAEC,A galvanometer with a full scale deflection of 20 mA is converted to read 8V by connecting a 395Ω resistor in series with it. Determine the internal resistance of the galvanometer,2.5Ω,5.0Ω,8.0Ω,1000Ω,A,,2022
Physics,NECO,A galvanometer with a full scale deflection of 20 mA is converted to read 8V by connecting a 395Ω resistor in series with it. Determine the internal resistance of the galvanometer,2.5Ω,5.0Ω,8.0Ω,1000Ω,A,,2022
Physics,WAEC,"An inductor of inductance 10H is connected across an a.c. circuit with supply at 50V, 100 Hz. What is the current in the circuit? (π = 3.14)",0.070 A,0.050 A,0.008 A,A. 1A,C,,2022
Physics,NECO,"An inductor of inductance 10H is connected across an a.c. circuit with supply at 50V, 100 Hz. What is the current in the circuit? (π = 3.14)",0.070 A,0.050 A,0.008 A,A. 1A,C,,2022
Physics,WAEC,The speed of fast moving neutrons in a nuclear reactor can be reduced by using,graphite rods,concrete shield,iron rods,boron rods,A,,2022
Physics,NECO,The speed of fast moving neutrons in a nuclear reactor can be reduced by using,graphite rods,concrete shield,iron rods,boron rods,A,,2022
Physics,WAEC,"In a series R-L-C circuit at resonance, impedance is",maximum,minimum,capacitive,inductive,B,,2022
Physics,NECO,"In a series R-L-C circuit at resonance, impedance is",maximum,minimum,capacitive,inductive,B,,2022
Physics,WAEC,"A lamp is rated 240V, 60W. Determine the resistance of the lamp when lit",120Ω,240Ω,540Ω,960Ω,D,,2022
Physics,NECO,"A lamp is rated 240V, 60W. Determine the resistance of the lamp when lit",120Ω,240Ω,540Ω,960Ω,D,,2022
Physics,WAEC,One major reason why electrical appliances in homes are normally earthed is that,the person touching the appliance is safe from electric shock,appliances are maintained at a higher p.d. than the earth,appliances are maintained at a lower p.d. than the earth,appliances are maintained at the same p.d. with that of the earth,A,,2022
Physics,NECO,One major reason why electrical appliances in homes are normally earthed is that,the person touching the appliance is safe from electric shock,appliances are maintained at a higher p.d. than the earth,appliances are maintained at a lower p.d. than the earth,appliances are maintained at the same p.d. with that of the earth,A,,2022
Physics,WAEC,In loping an intrinsic semiconductor to produce a p-type semiconductor,the semiconductor is heated up,B is added,donor element is added,an acceptor element is added,D,,2022
Physics,NECO,In loping an intrinsic semiconductor to produce a p-type semiconductor,the semiconductor is heated up,B is added,donor element is added,an acceptor element is added,D,,2022
Physics,WAEC,A wire of cross-sectional area 2π×10⁻⁸ m² and resistivity 1.1×10⁻⁸ m has a resistance of 21Ω. Calculate the length of the wire (π = 22/7),180 m,140 m,120 m,240 m,C,,2022
Physics,NECO,A wire of cross-sectional area 2π×10⁻⁸ m² and resistivity 1.1×10⁻⁸ m has a resistance of 21Ω. Calculate the length of the wire (π = 22/7),180 m,140 m,120 m,240 m,C,,2022
Physics,WAEC,Which of the following statements best describes the particles in a solid at room temperature?,They are far apart and moving randomly,They are close together and vibrating,They are close together and stationary,D. close together and moving randomly,B,,2022
Physics,NECO,Which of the following statements best describes the particles in a solid at room temperature?,They are far apart and moving randomly,They are close together and vibrating,They are close together and stationary,D. close together and moving randomly,B,,2022
Physics,WAEC,"A man weighing 200N runs up a staircase in 5s. If the height of the staircase is 9m, calculate the power of the man",1000 W,360 W,1800 W,180 W,B,,2022
Physics,NECO,"A man weighing 200N runs up a staircase in 5s. If the height of the staircase is 9m, calculate the power of the man",1000 W,360 W,1800 W,180 W,B,,2022
Physics,WAEC,"A radioactive element, initial mass N₀ = 1220 kg, u = 0. Using Newton's second law f_net = ma: 1240 - 800 = 1220a. What is the acceleration?",0.3607 ms⁻²,0.3907 ms⁻²,0.3507 ms⁻²,0.3207 ms⁻²,A,,2022
Physics,NECO,"A radioactive element, initial mass N₀ = 1220 kg, u = 0. Using Newton's second law f_net = ma: 1240 - 800 = 1220a. What is the acceleration?",0.3607 ms⁻²,0.3907 ms⁻²,0.3507 ms⁻²,0.3207 ms⁻²,A,,2022
Physics,WAEC,Which of the following situations is friction not useful?,Operation of an aircraft,Walking on a machine,Application of brakes,Moving piston in a sleeve,A,,2022
Physics,NECO,Which of the following situations is friction not useful?,Operation of an aircraft,Walking on a machine,Application of brakes,Moving piston in a sleeve,A,,2022
Physics,WAEC,"An object has initial velocity 20 m/s and a = 15 s using s = ut + ½at², what is s?",s = 300 + 225a/2,s = 200 + 225a/2,s = 300 + 225a,s = 300 + 2a,A,,2022
Physics,NECO,"An object has initial velocity 20 m/s and a = 15 s using s = ut + ½at², what is s?",s = 300 + 225a/2,s = 200 + 225a/2,s = 300 + 225a,s = 300 + 2a,A,,2022
Physics,WAEC,The specific heat capacity of an object changes when,only its length changes,its length does not change,only its mass changes,both its length and mass change,C,,2022
Physics,NECO,The specific heat capacity of an object changes when,only its length changes,its length does not change,only its mass changes,both its length and mass change,C,,2022
Physics,WAEC,"The diameter of a brass ring at 30°C (l₁ = 30 cm, θ₁ = 30°C, l₂ = 50.29 cm). Using α = Δl/l₀Δθ, the coefficient of linear expansion is",C. Only 30°C is not correct,A. 1.9 × 10⁻³,B. 1.9 × 10⁻⁵,D. 1.9 × 10⁻⁷,C,,2022
Physics,NECO,"The diameter of a brass ring at 30°C (l₁ = 30 cm, θ₁ = 30°C, l₂ = 50.29 cm). Using α = Δl/l₀Δθ, the coefficient of linear expansion is",C. Only 30°C is not correct,A. 1.9 × 10⁻³,B. 1.9 × 10⁻⁵,D. 1.9 × 10⁻⁷,C,,2022
Physics,WAEC,Radiation does not require a material medium,True,False,Partially true,Cannot be determined,A,,2022
Physics,NECO,Radiation does not require a material medium,True,False,Partially true,Cannot be determined,A,,2022
Physics,WAEC,"When light travels from one medium to another, its velocity changes","True, and its frequency remains constant","B. True, and its wavelength remains constant","True, but its frequency changes",False,A,,2022
Physics,NECO,"When light travels from one medium to another, its velocity changes","True, and its frequency remains constant","B. True, and its wavelength remains constant","True, but its frequency changes",False,A,,2022
Physics,WAEC,Using Snell's law: n = sin i/sin r where the frequency remains constant,True,False,Partially true,Cannot be determined,A,,2022
Physics,NECO,Using Snell's law: n = sin i/sin r where the frequency remains constant,True,False,Partially true,Cannot be determined,A,,2022
Physics,WAEC,Properties of intrinsic semiconductors include all EXCEPT,they have four valence electrons,they are tetravalent,they are group IV elements,they have thermally generated charge carriers,D,,2022
Physics,NECO,Properties of intrinsic semiconductors include all EXCEPT,they have four valence electrons,they are tetravalent,they are group IV elements,they have thermally generated charge carriers,D,,2022
Physics,WAEC,Anomalous expansion of water: Density rises then falls,at 4°C Temp.,at 0°C Temp.,at 100°C Temp.,at 50°C Temp.,A,,2022
Physics,NECO,Anomalous expansion of water: Density rises then falls,at 4°C Temp.,at 0°C Temp.,at 100°C Temp.,at 50°C Temp.,A,,2022
Physics,WAEC,D: At Rmax = 45°. H_max = u² sin² θ / 2g. Given: R_max: H_max = 4. The angle of projection θ is,30°,45°,60°,90°,B,,2022
Physics,NECO,D: At Rmax = 45°. H_max = u² sin² θ / 2g. Given: R_max: H_max = 4. The angle of projection θ is,30°,45°,60°,90°,B,,2022
Physics,WAEC,Which of the following statements about a neutral atom is correct?,core composed of electrons and protons,number of electrons equals that of neutrons,number of neutrons equals that of protons,number of protons equals that of electrons,D,,2022
Physics,NECO,Which of the following statements about a neutral atom is correct?,core composed of electrons and protons,number of electrons equals that of neutrons,number of neutrons equals that of protons,number of protons equals that of electrons,D,,2022
Physics,WAEC,A geostationary satellite is one,whose period of revolution is equal to 24 hours,whose orbital radius is 6400 km,which is at a height of 6400 km above the earth,B,A,,2022
Physics,NECO,A geostationary satellite is one,whose period of revolution is equal to 24 hours,whose orbital radius is 6400 km,which is at a height of 6400 km above the earth,B,A,,2022
Physics,WAEC,A particle of wavelength 4.2×10⁻¹¹ m travels with a momentum of 1.6×10⁻²³ kgms⁻¹. Determine the value of the Planck's constant h,6.63×10⁻³⁴ Js,6.63×10⁻³² Js,6.63×10⁻³⁶ Js,6.63×10⁻³⁰ Js,A,,2022
Physics,NECO,A particle of wavelength 4.2×10⁻¹¹ m travels with a momentum of 1.6×10⁻²³ kgms⁻¹. Determine the value of the Planck's constant h,6.63×10⁻³⁴ Js,6.63×10⁻³² Js,6.63×10⁻³⁶ Js,6.63×10⁻³⁰ Js,A,,2022
